       13325
x,y,i,j,cs
      13095.000,     -12945.000,   94,    2,    30.000
      13125.000,     -12945.000,   95,    2,    30.000
      13155.000,     -12945.000,   96,    2,    30.000
      13185.000,     -12945.000,   97,    2,    30.000
      13335.000,     -12945.000,  102,    2,    30.000
      13365.000,     -12945.000,  103,    2,    30.000
      13395.000,     -12945.000,  104,    2,    30.000
      13095.000,     -12915.000,   94,    3,    30.000
      13125.000,     -12915.000,   95,    3,    30.000
      13155.000,     -12915.000,   96,    3,    30.000
      13185.000,     -12915.000,   97,    3,    30.000
      13215.000,     -12915.000,   98,    3,    30.000
      13245.000,     -12915.000,   99,    3,    30.000
      13275.000,     -12915.000,  100,    3,    30.000
      13305.000,     -12915.000,  101,    3,    30.000
      13335.000,     -12915.000,  102,    3,    30.000
      13365.000,     -12915.000,  103,    3,    30.000
      13395.000,     -12915.000,  104,    3,    30.000
      13425.000,     -12915.000,  105,    3,    30.000
      13455.000,     -12915.000,  106,    3,    30.000
      13485.000,     -12915.000,  107,    3,    30.000
      13095.000,     -12885.000,   94,    4,    30.000
      13125.000,     -12885.000,   95,    4,    30.000
      13155.000,     -12885.000,   96,    4,    30.000
      13185.000,     -12885.000,   97,    4,    30.000
      13215.000,     -12885.000,   98,    4,    30.000
      13245.000,     -12885.000,   99,    4,    30.000
      13275.000,     -12885.000,  100,    4,    30.000
      13305.000,     -12885.000,  101,    4,    30.000
      13335.000,     -12885.000,  102,    4,    30.000
      13365.000,     -12885.000,  103,    4,    30.000
      13395.000,     -12885.000,  104,    4,    30.000
      13425.000,     -12885.000,  105,    4,    30.000
      13455.000,     -12885.000,  106,    4,    30.000
      13485.000,     -12885.000,  107,    4,    30.000
      13515.000,     -12885.000,  108,    4,    30.000
      13545.000,     -12885.000,  109,    4,    30.000
      13065.000,     -12855.000,   93,    5,    30.000
      13095.000,     -12855.000,   94,    5,    30.000
      13125.000,     -12855.000,   95,    5,    30.000
      13155.000,     -12855.000,   96,    5,    30.000
      13185.000,     -12855.000,   97,    5,    30.000
      13215.000,     -12855.000,   98,    5,    30.000
      13245.000,     -12855.000,   99,    5,    30.000
      13275.000,     -12855.000,  100,    5,    30.000
      13305.000,     -12855.000,  101,    5,    30.000
      13335.000,     -12855.000,  102,    5,    30.000
      13365.000,     -12855.000,  103,    5,    30.000
      13395.000,     -12855.000,  104,    5,    30.000
      13425.000,     -12855.000,  105,    5,    30.000
      13455.000,     -12855.000,  106,    5,    30.000
      13485.000,     -12855.000,  107,    5,    30.000
      13515.000,     -12855.000,  108,    5,    30.000
      13545.000,     -12855.000,  109,    5,    30.000
      13065.000,     -12825.000,   93,    6,    30.000
      13095.000,     -12825.000,   94,    6,    30.000
      13125.000,     -12825.000,   95,    6,    30.000
      13155.000,     -12825.000,   96,    6,    30.000
      13185.000,     -12825.000,   97,    6,    30.000
      13215.000,     -12825.000,   98,    6,    30.000
      13245.000,     -12825.000,   99,    6,    30.000
      13275.000,     -12825.000,  100,    6,    30.000
      13305.000,     -12825.000,  101,    6,    30.000
      13335.000,     -12825.000,  102,    6,    30.000
      13365.000,     -12825.000,  103,    6,    30.000
      13395.000,     -12825.000,  104,    6,    30.000
      13425.000,     -12825.000,  105,    6,    30.000
      13455.000,     -12825.000,  106,    6,    30.000
      13485.000,     -12825.000,  107,    6,    30.000
      13515.000,     -12825.000,  108,    6,    30.000
      13545.000,     -12825.000,  109,    6,    30.000
      13575.000,     -12825.000,  110,    6,    30.000
      13035.000,     -12795.000,   92,    7,    30.000
      13065.000,     -12795.000,   93,    7,    30.000
      13095.000,     -12795.000,   94,    7,    30.000
      13125.000,     -12795.000,   95,    7,    30.000
      13155.000,     -12795.000,   96,    7,    30.000
      13185.000,     -12795.000,   97,    7,    30.000
      13215.000,     -12795.000,   98,    7,    30.000
      13245.000,     -12795.000,   99,    7,    30.000
      13275.000,     -12795.000,  100,    7,    30.000
      13305.000,     -12795.000,  101,    7,    30.000
      13335.000,     -12795.000,  102,    7,    30.000
      13365.000,     -12795.000,  103,    7,    30.000
      13395.000,     -12795.000,  104,    7,    30.000
      13425.000,     -12795.000,  105,    7,    30.000
      13455.000,     -12795.000,  106,    7,    30.000
      13485.000,     -12795.000,  107,    7,    30.000
      13515.000,     -12795.000,  108,    7,    30.000
      13545.000,     -12795.000,  109,    7,    30.000
      13575.000,     -12795.000,  110,    7,    30.000
      13605.000,     -12795.000,  111,    7,    30.000
      13005.000,     -12765.000,   91,    8,    30.000
      13035.000,     -12765.000,   92,    8,    30.000
      13065.000,     -12765.000,   93,    8,    30.000
      13095.000,     -12765.000,   94,    8,    30.000
      13125.000,     -12765.000,   95,    8,    30.000
      13155.000,     -12765.000,   96,    8,    30.000
      13185.000,     -12765.000,   97,    8,    30.000
      13215.000,     -12765.000,   98,    8,    30.000
      13245.000,     -12765.000,   99,    8,    30.000
      13275.000,     -12765.000,  100,    8,    30.000
      13305.000,     -12765.000,  101,    8,    30.000
      13335.000,     -12765.000,  102,    8,    30.000
      13365.000,     -12765.000,  103,    8,    30.000
      13395.000,     -12765.000,  104,    8,    30.000
      13425.000,     -12765.000,  105,    8,    30.000
      13455.000,     -12765.000,  106,    8,    30.000
      13485.000,     -12765.000,  107,    8,    30.000
      13515.000,     -12765.000,  108,    8,    30.000
      13545.000,     -12765.000,  109,    8,    30.000
      13575.000,     -12765.000,  110,    8,    30.000
      13605.000,     -12765.000,  111,    8,    30.000
      13635.000,     -12765.000,  112,    8,    30.000
      13755.000,     -12765.000,  116,    8,    30.000
      12495.000,     -12735.000,   74,    9,    30.000
      12525.000,     -12735.000,   75,    9,    30.000
      12555.000,     -12735.000,   76,    9,    30.000
      12585.000,     -12735.000,   77,    9,    30.000
      12615.000,     -12735.000,   78,    9,    30.000
      12645.000,     -12735.000,   79,    9,    30.000
      12675.000,     -12735.000,   80,    9,    30.000
      12705.000,     -12735.000,   81,    9,    30.000
      12735.000,     -12735.000,   82,    9,    30.000
      12765.000,     -12735.000,   83,    9,    30.000
      12795.000,     -12735.000,   84,    9,    30.000
      12825.000,     -12735.000,   85,    9,    30.000
      12855.000,     -12735.000,   86,    9,    30.000
      12885.000,     -12735.000,   87,    9,    30.000
      12915.000,     -12735.000,   88,    9,    30.000
      12945.000,     -12735.000,   89,    9,    30.000
      12975.000,     -12735.000,   90,    9,    30.000
      13005.000,     -12735.000,   91,    9,    30.000
      13035.000,     -12735.000,   92,    9,    30.000
      13065.000,     -12735.000,   93,    9,    30.000
      13095.000,     -12735.000,   94,    9,    30.000
      13125.000,     -12735.000,   95,    9,    30.000
      13155.000,     -12735.000,   96,    9,    30.000
      13185.000,     -12735.000,   97,    9,    30.000
      13215.000,     -12735.000,   98,    9,    30.000
      13245.000,     -12735.000,   99,    9,    30.000
      13275.000,     -12735.000,  100,    9,    30.000
      13305.000,     -12735.000,  101,    9,    30.000
      13335.000,     -12735.000,  102,    9,    30.000
      13365.000,     -12735.000,  103,    9,    30.000
      13395.000,     -12735.000,  104,    9,    30.000
      13425.000,     -12735.000,  105,    9,    30.000
      13455.000,     -12735.000,  106,    9,    30.000
      13485.000,     -12735.000,  107,    9,    30.000
      13515.000,     -12735.000,  108,    9,    30.000
      13545.000,     -12735.000,  109,    9,    30.000
      13575.000,     -12735.000,  110,    9,    30.000
      13605.000,     -12735.000,  111,    9,    30.000
      13635.000,     -12735.000,  112,    9,    30.000
      13665.000,     -12735.000,  113,    9,    30.000
      13695.000,     -12735.000,  114,    9,    30.000
      13725.000,     -12735.000,  115,    9,    30.000
      13755.000,     -12735.000,  116,    9,    30.000
      13785.000,     -12735.000,  117,    9,    30.000
      13815.000,     -12735.000,  118,    9,    30.000
      13845.000,     -12735.000,  119,    9,    30.000
      13995.000,     -12735.000,  124,    9,    30.000
      14025.000,     -12735.000,  125,    9,    30.000
      14055.000,     -12735.000,  126,    9,    30.000
      14085.000,     -12735.000,  127,    9,    30.000
      12375.000,     -12705.000,   70,   10,    30.000
      12405.000,     -12705.000,   71,   10,    30.000
      12435.000,     -12705.000,   72,   10,    30.000
      12465.000,     -12705.000,   73,   10,    30.000
      12495.000,     -12705.000,   74,   10,    30.000
      12525.000,     -12705.000,   75,   10,    30.000
      12555.000,     -12705.000,   76,   10,    30.000
      12585.000,     -12705.000,   77,   10,    30.000
      12615.000,     -12705.000,   78,   10,    30.000
      12645.000,     -12705.000,   79,   10,    30.000
      12675.000,     -12705.000,   80,   10,    30.000
      12705.000,     -12705.000,   81,   10,    30.000
      12735.000,     -12705.000,   82,   10,    30.000
      12765.000,     -12705.000,   83,   10,    30.000
      12795.000,     -12705.000,   84,   10,    30.000
      12825.000,     -12705.000,   85,   10,    30.000
      12855.000,     -12705.000,   86,   10,    30.000
      12885.000,     -12705.000,   87,   10,    30.000
      12915.000,     -12705.000,   88,   10,    30.000
      12945.000,     -12705.000,   89,   10,    30.000
      12975.000,     -12705.000,   90,   10,    30.000
      13005.000,     -12705.000,   91,   10,    30.000
      13035.000,     -12705.000,   92,   10,    30.000
      13065.000,     -12705.000,   93,   10,    30.000
      13095.000,     -12705.000,   94,   10,    30.000
      13125.000,     -12705.000,   95,   10,    30.000
      13155.000,     -12705.000,   96,   10,    30.000
      13185.000,     -12705.000,   97,   10,    30.000
      13215.000,     -12705.000,   98,   10,    30.000
      13245.000,     -12705.000,   99,   10,    30.000
      13275.000,     -12705.000,  100,   10,    30.000
      13305.000,     -12705.000,  101,   10,    30.000
      13335.000,     -12705.000,  102,   10,    30.000
      13365.000,     -12705.000,  103,   10,    30.000
      13395.000,     -12705.000,  104,   10,    30.000
      13425.000,     -12705.000,  105,   10,    30.000
      13455.000,     -12705.000,  106,   10,    30.000
      13485.000,     -12705.000,  107,   10,    30.000
      13515.000,     -12705.000,  108,   10,    30.000
      13545.000,     -12705.000,  109,   10,    30.000
      13575.000,     -12705.000,  110,   10,    30.000
      13605.000,     -12705.000,  111,   10,    30.000
      13635.000,     -12705.000,  112,   10,    30.000
      13665.000,     -12705.000,  113,   10,    30.000
      13695.000,     -12705.000,  114,   10,    30.000
      13725.000,     -12705.000,  115,   10,    30.000
      13755.000,     -12705.000,  116,   10,    30.000
      13785.000,     -12705.000,  117,   10,    30.000
      13815.000,     -12705.000,  118,   10,    30.000
      13845.000,     -12705.000,  119,   10,    30.000
      13875.000,     -12705.000,  120,   10,    30.000
      13905.000,     -12705.000,  121,   10,    30.000
      13935.000,     -12705.000,  122,   10,    30.000
      13965.000,     -12705.000,  123,   10,    30.000
      13995.000,     -12705.000,  124,   10,    30.000
      14025.000,     -12705.000,  125,   10,    30.000
      14055.000,     -12705.000,  126,   10,    30.000
      14085.000,     -12705.000,  127,   10,    30.000
      10335.000,     -12675.000,    2,   11,    30.000
      10365.000,     -12675.000,    3,   11,    30.000
      10395.000,     -12675.000,    4,   11,    30.000
      12255.000,     -12675.000,   66,   11,    30.000
      12285.000,     -12675.000,   67,   11,    30.000
      12315.000,     -12675.000,   68,   11,    30.000
      12345.000,     -12675.000,   69,   11,    30.000
      12375.000,     -12675.000,   70,   11,    30.000
      12405.000,     -12675.000,   71,   11,    30.000
      12435.000,     -12675.000,   72,   11,    30.000
      12465.000,     -12675.000,   73,   11,    30.000
      12495.000,     -12675.000,   74,   11,    30.000
      12525.000,     -12675.000,   75,   11,    30.000
      12555.000,     -12675.000,   76,   11,    30.000
      12585.000,     -12675.000,   77,   11,    30.000
      12615.000,     -12675.000,   78,   11,    30.000
      12645.000,     -12675.000,   79,   11,    30.000
      12675.000,     -12675.000,   80,   11,    30.000
      12705.000,     -12675.000,   81,   11,    30.000
      12735.000,     -12675.000,   82,   11,    30.000
      12765.000,     -12675.000,   83,   11,    30.000
      12795.000,     -12675.000,   84,   11,    30.000
      12825.000,     -12675.000,   85,   11,    30.000
      12855.000,     -12675.000,   86,   11,    30.000
      12885.000,     -12675.000,   87,   11,    30.000
      12915.000,     -12675.000,   88,   11,    30.000
      12945.000,     -12675.000,   89,   11,    30.000
      12975.000,     -12675.000,   90,   11,    30.000
      13005.000,     -12675.000,   91,   11,    30.000
      13035.000,     -12675.000,   92,   11,    30.000
      13065.000,     -12675.000,   93,   11,    30.000
      13095.000,     -12675.000,   94,   11,    30.000
      13125.000,     -12675.000,   95,   11,    30.000
      13155.000,     -12675.000,   96,   11,    30.000
      13185.000,     -12675.000,   97,   11,    30.000
      13215.000,     -12675.000,   98,   11,    30.000
      13245.000,     -12675.000,   99,   11,    30.000
      13275.000,     -12675.000,  100,   11,    30.000
      13305.000,     -12675.000,  101,   11,    30.000
      13335.000,     -12675.000,  102,   11,    30.000
      13365.000,     -12675.000,  103,   11,    30.000
      13395.000,     -12675.000,  104,   11,    30.000
      13425.000,     -12675.000,  105,   11,    30.000
      13455.000,     -12675.000,  106,   11,    30.000
      13485.000,     -12675.000,  107,   11,    30.000
      13515.000,     -12675.000,  108,   11,    30.000
      13545.000,     -12675.000,  109,   11,    30.000
      13575.000,     -12675.000,  110,   11,    30.000
      13605.000,     -12675.000,  111,   11,    30.000
      13635.000,     -12675.000,  112,   11,    30.000
      13665.000,     -12675.000,  113,   11,    30.000
      13695.000,     -12675.000,  114,   11,    30.000
      13725.000,     -12675.000,  115,   11,    30.000
      13755.000,     -12675.000,  116,   11,    30.000
      13785.000,     -12675.000,  117,   11,    30.000
      13815.000,     -12675.000,  118,   11,    30.000
      13845.000,     -12675.000,  119,   11,    30.000
      13875.000,     -12675.000,  120,   11,    30.000
      13905.000,     -12675.000,  121,   11,    30.000
      13935.000,     -12675.000,  122,   11,    30.000
      13965.000,     -12675.000,  123,   11,    30.000
      13995.000,     -12675.000,  124,   11,    30.000
      14025.000,     -12675.000,  125,   11,    30.000
      14055.000,     -12675.000,  126,   11,    30.000
      14085.000,     -12675.000,  127,   11,    30.000
      14115.000,     -12675.000,  128,   11,    30.000
      10335.000,     -12645.000,    2,   12,    30.000
      10365.000,     -12645.000,    3,   12,    30.000
      10395.000,     -12645.000,    4,   12,    30.000
      10425.000,     -12645.000,    5,   12,    30.000
      11595.000,     -12645.000,   44,   12,    30.000
      11625.000,     -12645.000,   45,   12,    30.000
      11655.000,     -12645.000,   46,   12,    30.000
      11895.000,     -12645.000,   54,   12,    30.000
      11925.000,     -12645.000,   55,   12,    30.000
      11955.000,     -12645.000,   56,   12,    30.000
      11985.000,     -12645.000,   57,   12,    30.000
      12015.000,     -12645.000,   58,   12,    30.000
      12045.000,     -12645.000,   59,   12,    30.000
      12075.000,     -12645.000,   60,   12,    30.000
      12105.000,     -12645.000,   61,   12,    30.000
      12135.000,     -12645.000,   62,   12,    30.000
      12165.000,     -12645.000,   63,   12,    30.000
      12255.000,     -12645.000,   66,   12,    30.000
      12285.000,     -12645.000,   67,   12,    30.000
      12315.000,     -12645.000,   68,   12,    30.000
      12345.000,     -12645.000,   69,   12,    30.000
      12375.000,     -12645.000,   70,   12,    30.000
      12405.000,     -12645.000,   71,   12,    30.000
      12435.000,     -12645.000,   72,   12,    30.000
      12465.000,     -12645.000,   73,   12,    30.000
      12495.000,     -12645.000,   74,   12,    30.000
      12525.000,     -12645.000,   75,   12,    30.000
      12555.000,     -12645.000,   76,   12,    30.000
      12585.000,     -12645.000,   77,   12,    30.000
      12615.000,     -12645.000,   78,   12,    30.000
      12645.000,     -12645.000,   79,   12,    30.000
      12675.000,     -12645.000,   80,   12,    30.000
      12705.000,     -12645.000,   81,   12,    30.000
      12735.000,     -12645.000,   82,   12,    30.000
      12765.000,     -12645.000,   83,   12,    30.000
      12795.000,     -12645.000,   84,   12,    30.000
      12825.000,     -12645.000,   85,   12,    30.000
      12855.000,     -12645.000,   86,   12,    30.000
      12885.000,     -12645.000,   87,   12,    30.000
      12915.000,     -12645.000,   88,   12,    30.000
      12945.000,     -12645.000,   89,   12,    30.000
      12975.000,     -12645.000,   90,   12,    30.000
      13005.000,     -12645.000,   91,   12,    30.000
      13035.000,     -12645.000,   92,   12,    30.000
      13065.000,     -12645.000,   93,   12,    30.000
      13095.000,     -12645.000,   94,   12,    30.000
      13125.000,     -12645.000,   95,   12,    30.000
      13155.000,     -12645.000,   96,   12,    30.000
      13185.000,     -12645.000,   97,   12,    30.000
      13215.000,     -12645.000,   98,   12,    30.000
      13245.000,     -12645.000,   99,   12,    30.000
      13275.000,     -12645.000,  100,   12,    30.000
      13305.000,     -12645.000,  101,   12,    30.000
      13335.000,     -12645.000,  102,   12,    30.000
      13365.000,     -12645.000,  103,   12,    30.000
      13395.000,     -12645.000,  104,   12,    30.000
      13425.000,     -12645.000,  105,   12,    30.000
      13455.000,     -12645.000,  106,   12,    30.000
      13485.000,     -12645.000,  107,   12,    30.000
      13515.000,     -12645.000,  108,   12,    30.000
      13545.000,     -12645.000,  109,   12,    30.000
      13575.000,     -12645.000,  110,   12,    30.000
      13605.000,     -12645.000,  111,   12,    30.000
      13635.000,     -12645.000,  112,   12,    30.000
      13665.000,     -12645.000,  113,   12,    30.000
      13695.000,     -12645.000,  114,   12,    30.000
      13725.000,     -12645.000,  115,   12,    30.000
      13755.000,     -12645.000,  116,   12,    30.000
      13785.000,     -12645.000,  117,   12,    30.000
      13815.000,     -12645.000,  118,   12,    30.000
      13845.000,     -12645.000,  119,   12,    30.000
      13875.000,     -12645.000,  120,   12,    30.000
      13905.000,     -12645.000,  121,   12,    30.000
      13935.000,     -12645.000,  122,   12,    30.000
